Order_Date,Region,Product_Category,Sales,Cost,Profit,Customer_Segment,Salesperson,Payment_Method,Profit_margin,sales_category,Month,Profit_status,Year
23-03-2025,East,Software,9540.52,6443.39,3097.13,Enterprise,N. Iyer,UPI,32.46%,Medium,Mar,Excellent,2025
04-12-2024,Central,Accessories,2563.33,2042.06,521.27,Enterprise,P. Singh,Credit Card,20.34%,Low,Dec,low,2024
19-05-2026,East,Accessories,14694.24,8994.92,5699.32,Small Business,M. Rao,Credit Card,38.79%,High,May,Excellent,2026
19-03-2026,East,Office Supplies,1558.55,668.15,890.4,Small Business,M. Rao,Debit Card,57.13%,Low,Mar,low,2026
09-05-2024,North,Accessories,5502.28,4703.91,798.37,Enterprise,N. Iyer,Debit Card,14.51%,Medium,May,low,2024
28-08-2023,East,Software,9982.64,5933.07,4049.57,Enterprise,K. Das,Credit Card,40.57%,Medium,Aug,Excellent,2023
29-07-2024,Central,Software,4860.94,3154.19,1706.75,Small Business,M. Rao,Debit Card,35.11%,Low,Jul,low,2024
11-07-2024,East,Accessories,3716.88,2714.68,1002.2,Corporate,N. Iyer,Credit Card,26.96%,Low,Jul,low,2024
04-10-2024,East,Software,5090.7,3262.02,1828.68,Small Business,N. Iyer,Bank Transfer,35.92%,Medium,Oct,low,2024
28-02-2025,North,Accessories,4585.11,4227.47,357.64,Consumer,V. Gupta,Debit Card,7.80%,Low,Feb,good,2025
26-04-2026,Central,Office Supplies,1983.07,1166.36,816.71,Enterprise,A. Kumar,Debit Card,41.18%,Low,Apr,low,2026
13-04-2024,Central,Software,10939.65,8931.9,2007.75,Corporate,N. Iyer,Debit Card,18.35%,High,Apr,low,2024
19-12-2023,South,Office Supplies,6435.86,4439.47,1996.39,Consumer,A. Kumar,UPI,31.02%,Medium,Dec,low,2023
17-01-2025,Central,Furniture,3261.58,1963.5,1298.08,Enterprise,P. Singh,Debit Card,39.80%,Low,Jan,low,2025
11-12-2025,West,Software,7328.55,5738.04,1590.51,Consumer,A. Kumar,Cash,21.70%,Medium,Dec,low,2025
18-08-2024,East,Accessories,10841.81,6602.87,4238.94,Corporate,A. Kumar,Credit Card,39.10%,High,Aug,Excellent,2024
27-11-2024,East,Furniture,3664.49,2113.76,1550.73,Consumer,K. Das,Cash,42.32%,Low,Nov,low,2024
24-03-2025,East,Office Supplies,2782.61,1586.48,1196.13,Enterprise,N. Iyer,UPI,42.99%,Low,Mar,low,2025
06-04-2024,East,Furniture,5304.8,3150.32,2154.48,Corporate,K. Das,Credit Card,40.61%,Medium,Apr,low,2024
16-10-2024,South,Electronics,3827.76,2096.46,1731.3,Corporate,P. Singh,Bank Transfer,45.23%,Low,Oct,low,2024
21-09-2023,Central,Accessories,5080.69,3439.21,1641.48,Consumer,A. Kumar,Credit Card,32.31%,Medium,Sep,low,2023
16-08-2023,West,Software,623.96,529.29,94.67,Consumer,M. Rao,UPI,15.17%,Low,Aug,good,2023
15-05-2024,North,Office Supplies,3065.4,1928.9,1136.5,Enterprise,P. Singh,Cash,37.08%,Low,May,low,2024
09-01-2025,West,Electronics,8365.74,5642.9,2722.84,Consumer,M. Rao,Credit Card,32.55%,Medium,Jan,low,2025
09-02-2024,East,Accessories,6489.6,4529.88,1959.72,Corporate,N. Iyer,UPI,30.20%,Medium,Feb,low,2024
02-03-2025,South,Software,2303.71,1527.33,776.38,Small Business,S. Patel,Credit Card,33.70%,Low,Mar,low,2025
02-08-2023,Central,Software,9837.92,6077.53,3760.39,Corporate,P. Singh,Cash,38.22%,Medium,Aug,Excellent,2023
07-12-2023,East,Furniture,6987.81,6539.72,448.09,Enterprise,M. Rao,Bank Transfer,6.41%,Medium,Dec,good,2023
11-02-2026,North,Office Supplies,1218.55,545.71,672.84,Small Business,N. Iyer,UPI,55.22%,Low,Feb,low,2026
29-02-2024,North,Electronics,1754.72,945.49,809.23,Corporate,R. Sharma,Bank Transfer,46.12%,Low,Feb,low,2024
08-07-2025,East,Electronics,13158.4,8061.3,5097.1,Small Business,N. Iyer,Debit Card,38.74%,High,Jul,Excellent,2025
25-02-2024,East,Software,6265.3,3666.92,2598.38,Enterprise,K. Das,Debit Card,41.47%,Medium,Feb,low,2024
23-02-2024,South,Electronics,2200.16,1279.35,920.81,Enterprise,V. Gupta,Cash,41.85%,Low,Feb,low,2024
20-12-2025,East,Accessories,2293.45,1713.22,580.23,Consumer,R. Sharma,UPI,25.30%,Low,Dec,low,2025
01-04-2026,North,Electronics,1583.5,1105.14,478.36,Small Business,N. Iyer,Credit Card,30.21%,Low,Apr,good,2026
15-06-2026,Central,Furniture,9617.39,6931.01,2686.38,Small Business,P. Singh,UPI,27.93%,Medium,Jun,low,2026
27-11-2024,West,Furniture,6468.91,4389.17,2079.74,Consumer,A. Kumar,Debit Card,32.15%,Medium,Nov,low,2024
07-05-2026,South,Electronics,11993.17,7654.73,4338.44,Enterprise,N. Iyer,Debit Card,36.17%,High,May,Excellent,2026
14-05-2025,South,Accessories,9023.33,8734.29,289.04,Enterprise,K. Das,Debit Card,3.20%,Medium,May,good,2025
15-12-2023,West,Electronics,6598.99,4185.94,2413.05,Enterprise,V. Gupta,Bank Transfer,36.57%,Medium,Dec,low,2023
06-03-2024,North,Electronics,13147.96,8827.97,4319.99,Enterprise,K. Das,Credit Card,32.86%,High,Mar,Excellent,2024
07-07-2023,Central,Office Supplies,11386.03,7450.59,3935.44,Corporate,V. Gupta,Bank Transfer,34.56%,High,Jul,Excellent,2023
20-07-2025,West,Office Supplies,11501.4,7445.27,4056.13,Enterprise,N. Iyer,UPI,35.27%,High,Jul,Excellent,2025
25-02-2024,North,Office Supplies,1679.02,967.19,711.83,Small Business,M. Rao,Cash,42.40%,Low,Feb,low,2024
10-06-2026,South,Software,3699.44,3427.62,271.82,Corporate,K. Das,Credit Card,7.35%,Low,Jun,good,2026
08-12-2024,West,Furniture,6253.36,5536.58,716.78,Enterprise,S. Patel,Bank Transfer,11.46%,Medium,Dec,low,2024
12-02-2024,Central,Electronics,7052.68,6838.63,214.05,Enterprise,V. Gupta,Cash,3.04%,Medium,Feb,good,2024
04-05-2026,Central,Electronics,1936.24,1298.26,637.98,Enterprise,V. Gupta,Cash,32.95%,Low,May,low,2026
03-07-2024,South,Electronics,6995.94,6257.18,738.76,Enterprise,N. Iyer,Cash,10.56%,Medium,Jul,low,2024
01-09-2025,South,Office Supplies,5528.67,3826.12,1702.55,Enterprise,N. Iyer,Bank Transfer,30.79%,Medium,Sep,low,2025
19-01-2026,Central,Accessories,7933.92,7262.69,671.23,Small Business,N. Iyer,Cash,8.46%,Medium,Jan,low,2026
24-09-2024,East,Office Supplies,2907.02,1887.91,1019.11,Corporate,R. Sharma,Cash,35.06%,Low,Sep,low,2024
27-04-2025,Central,Software,9734.01,6422.14,3311.87,Enterprise,M. Rao,UPI,34.02%,Medium,Apr,Excellent,2025
02-08-2023,South,Electronics,4837,4752.3,84.7,Consumer,S. Patel,Bank Transfer,1.75%,Low,Aug,good,2023
31-05-2024,South,Electronics,12825.35,8853.44,3971.91,Small Business,S. Patel,Cash,30.97%,High,May,Excellent,2024
11-09-2023,Central,Accessories,4412.61,3292.27,1120.34,Corporate,K. Das,Debit Card,25.39%,Low,Sep,low,2023
18-05-2026,East,Electronics,10873.29,7080.33,3792.96,Enterprise,K. Das,UPI,34.88%,High,May,Excellent,2026
07-04-2025,East,Furniture,9003.54,8695.92,307.62,Enterprise,S. Patel,Bank Transfer,3.42%,Medium,Apr,good,2025
12-08-2024,East,Software,11544.33,7007.71,4536.62,Corporate,P. Singh,Debit Card,39.30%,High,Aug,Excellent,2024
26-06-2024,North,Software,7177.55,6642.21,535.34,Small Business,M. Rao,Debit Card,7.46%,Medium,Jun,low,2024
31-05-2024,East,Software,6235.55,5297.48,938.07,Corporate,A. Kumar,Debit Card,15.04%,Medium,May,low,2024
27-04-2025,Central,Office Supplies,8311.4,5412.23,2899.17,Enterprise,N. Iyer,Credit Card,34.88%,Medium,Apr,low,2025
17-04-2025,Central,Electronics,7996.87,4776.02,3220.85,Corporate,K. Das,Cash,40.28%,Medium,Apr,Excellent,2025
10-10-2025,South,Office Supplies,1150.8,918.32,232.48,Small Business,N. Iyer,Bank Transfer,20.20%,Low,Oct,good,2025
26-09-2024,West,Accessories,12041.53,8557.74,3483.79,Consumer,P. Singh,Bank Transfer,28.93%,High,Sep,Excellent,2024
04-01-2026,Central,Furniture,3423.09,2239.1,1183.99,Consumer,N. Iyer,UPI,34.59%,Low,Jan,low,2026
24-02-2024,East,Electronics,4950.04,3534.3,1415.74,Small Business,V. Gupta,UPI,28.60%,Low,Feb,low,2024
04-10-2023,East,Accessories,4134.46,2738.26,1396.2,Consumer,P. Singh,Debit Card,33.77%,Low,Oct,low,2023
03-07-2026,South,Software,204.47,165.24,39.23,Consumer,S. Patel,Cash,19.19%,Low,Jul,good,2026
14-12-2025,South,Electronics,9625.27,5854.39,3770.88,Enterprise,N. Iyer,Credit Card,39.18%,Medium,Dec,Excellent,2025
02-01-2024,East,Accessories,921.21,751.91,169.3,Consumer,S. Patel,Bank Transfer,18.38%,Low,Jan,good,2024
18-10-2025,West,Office Supplies,5212.28,3553.49,1658.79,Consumer,K. Das,Credit Card,31.82%,Medium,Oct,low,2025
06-07-2026,North,Accessories,578.55,152.5,426.05,Consumer,P. Singh,Bank Transfer,73.64%,Low,Jul,good,2026
01-05-2026,East,Accessories,1931.25,1044.61,886.64,Consumer,M. Rao,UPI,45.91%,Low,May,low,2026
26-08-2025,West,Furniture,5380.58,3616.51,1764.07,Corporate,R. Sharma,UPI,32.79%,Medium,Aug,low,2025
02-03-2025,East,Electronics,9464.56,8645.19,819.37,Corporate,P. Singh,Credit Card,8.66%,Medium,Mar,low,2025
17-07-2023,Central,Electronics,6623.11,5197.2,1425.91,Small Business,S. Patel,Bank Transfer,21.53%,Medium,Jul,low,2023
12-09-2024,Central,Furniture,5557.71,3772.63,1785.08,Corporate,R. Sharma,Debit Card,32.12%,Medium,Sep,low,2024
05-12-2024,Central,Electronics,2119.26,1829.5,289.76,Enterprise,P. Singh,Bank Transfer,13.67%,Low,Dec,good,2024
21-11-2023,Central,Software,2705.95,2331.12,374.83,Small Business,N. Iyer,Debit Card,13.85%,Low,Nov,good,2023
29-10-2024,South,Office Supplies,1668.3,990.4,677.9,Enterprise,V. Gupta,Bank Transfer,40.63%,Low,Oct,low,2024
24-03-2025,Central,Office Supplies,6921.45,6271.78,649.67,Small Business,K. Das,Debit Card,9.39%,Medium,Mar,low,2025
16-07-2023,West,Office Supplies,4641.65,2887.61,1754.04,Small Business,R. Sharma,Bank Transfer,37.79%,Low,Jul,low,2023
15-03-2026,East,Software,5306.91,4219.35,1087.56,Consumer,R. Sharma,Cash,20.49%,Medium,Mar,low,2026
21-12-2023,South,Accessories,11932.91,7591.96,4340.95,Corporate,M. Rao,Credit Card,36.38%,High,Dec,Excellent,2023
08-12-2023,North,Accessories,12562.81,8039.74,4523.07,Enterprise,S. Patel,Credit Card,36.00%,High,Dec,Excellent,2023
21-12-2024,West,Furniture,8394.6,4936.88,3457.72,Small Business,K. Das,Debit Card,41.19%,Medium,Dec,Excellent,2024
21-02-2025,North,Software,1930.43,1291.54,638.89,Small Business,A. Kumar,Debit Card,33.10%,Low,Feb,low,2025
10-06-2024,South,Furniture,7485.32,6839.13,646.19,Corporate,V. Gupta,Bank Transfer,8.63%,Medium,Jun,low,2024
27-09-2023,North,Office Supplies,2890.38,2047.49,842.89,Small Business,S. Patel,Credit Card,29.16%,Low,Sep,low,2023
02-09-2024,West,Software,7341.19,4709.18,2632.01,Enterprise,A. Kumar,Credit Card,35.85%,Medium,Sep,low,2024
30-04-2025,East,Office Supplies,2094.85,1018.7,1076.15,Corporate,K. Das,UPI,51.37%,Low,Apr,low,2025
24-07-2025,North,Accessories,8652.17,5330.34,3321.83,Small Business,K. Das,Debit Card,38.39%,Medium,Jul,Excellent,2025
29-05-2026,East,Software,5940.77,3712,2228.77,Enterprise,A. Kumar,Cash,37.52%,Medium,May,low,2026
16-04-2024,Central,Office Supplies,4684.16,4015.1,669.06,Corporate,R. Sharma,Debit Card,14.28%,Low,Apr,low,2024
24-05-2024,North,Furniture,5112.93,3323.78,1789.15,Enterprise,N. Iyer,Credit Card,34.99%,Medium,May,low,2024
19-03-2026,Central,Furniture,8105.01,6109.54,1995.47,Enterprise,A. Kumar,Debit Card,24.62%,Medium,Mar,low,2026
03-10-2023,South,Accessories,1974.41,1238.18,736.23,Consumer,R. Sharma,Credit Card,37.29%,Low,Oct,low,2023
11-06-2024,West,Accessories,2747.62,2398.51,349.11,Consumer,M. Rao,Credit Card,12.71%,Low,Jun,good,2024
22-09-2024,West,Furniture,7035.28,4097.91,2937.37,Corporate,K. Das,Cash,41.75%,Medium,Sep,low,2024
24-04-2024,South,Accessories,11112.92,7172.08,3940.84,Small Business,R. Sharma,Bank Transfer,35.46%,High,Apr,Excellent,2024
20-01-2026,West,Software,5667,5409.15,257.85,Corporate,P. Singh,Credit Card,4.55%,Medium,Jan,good,2026
24-08-2024,West,Furniture,7799.58,4752.13,3047.45,Consumer,R. Sharma,UPI,39.07%,Medium,Aug,Excellent,2024
24-09-2023,North,Electronics,10700.52,7912,2788.52,Enterprise,R. Sharma,Cash,26.06%,High,Sep,low,2023
09-07-2023,West,Accessories,12228.43,8083.02,4145.41,Enterprise,N. Iyer,Credit Card,33.90%,High,Jul,Excellent,2023
26-06-2026,West,Software,6592.8,3917.71,2675.09,Small Business,P. Singh,UPI,40.58%,Medium,Jun,low,2026
06-04-2024,North,Office Supplies,3834.99,2365.21,1469.78,Enterprise,M. Rao,Debit Card,38.33%,Low,Apr,low,2024
18-07-2023,Central,Accessories,9842.92,6411.42,3431.5,Consumer,A. Kumar,UPI,34.86%,Medium,Jul,Excellent,2023
30-08-2024,East,Electronics,7558.23,6221.12,1337.11,Corporate,K. Das,Cash,17.69%,Medium,Aug,low,2024
07-12-2024,Central,Office Supplies,3473.88,2425.6,1048.28,Small Business,K. Das,Debit Card,30.18%,Low,Dec,low,2024
30-10-2025,South,Office Supplies,6969.79,5013.73,1956.06,Enterprise,M. Rao,Bank Transfer,28.06%,Medium,Oct,low,2025
11-06-2025,South,Electronics,8859.23,6990.33,1868.9,Corporate,V. Gupta,Debit Card,21.10%,Medium,Jun,low,2025
28-01-2024,East,Accessories,2691.72,2008.68,683.04,Consumer,R. Sharma,UPI,25.38%,Low,Jan,low,2024
17-07-2023,West,Accessories,11256.07,7258.89,3997.18,Enterprise,P. Singh,Credit Card,35.51%,High,Jul,Excellent,2023
26-12-2024,North,Software,2213.37,2073.76,139.61,Enterprise,M. Rao,Cash,6.31%,Low,Dec,good,2024
01-11-2023,West,Software,13118.45,8516.87,4601.58,Consumer,S. Patel,Cash,35.08%,High,Nov,Excellent,2023
11-02-2025,Central,Accessories,3087.53,1833.24,1254.29,Corporate,R. Sharma,Credit Card,40.62%,Low,Feb,low,2025
12-07-2025,South,Electronics,2229.91,2229.38,0.53,Small Business,K. Das,Bank Transfer,0.02%,Low,Jul,good,2025
23-09-2025,North,Electronics,4254.38,3708.51,545.87,Consumer,M. Rao,Cash,12.83%,Low,Sep,low,2025
18-06-2025,South,Accessories,5162.42,3192.53,1969.89,Corporate,V. Gupta,UPI,38.16%,Medium,Jun,low,2025
16-07-2023,North,Accessories,3219.53,2423.86,795.67,Consumer,M. Rao,Bank Transfer,24.71%,Low,Jul,low,2023
02-03-2024,Central,Accessories,11884.04,7246.19,4637.85,Small Business,V. Gupta,UPI,39.03%,High,Mar,Excellent,2024
23-03-2026,West,Software,10491.34,6952.71,3538.63,Consumer,V. Gupta,Credit Card,33.73%,High,Mar,Excellent,2026
16-12-2024,South,Furniture,1284.67,701.23,583.44,Small Business,K. Das,Bank Transfer,45.42%,Low,Dec,low,2024
29-05-2026,East,Furniture,7264.37,4867.3,2397.07,Small Business,P. Singh,UPI,33.00%,Medium,May,low,2026
06-06-2025,West,Office Supplies,1676.39,776.66,899.73,Small Business,S. Patel,Cash,53.67%,Low,Jun,low,2025
08-01-2025,South,Software,2872.93,1726.78,1146.15,Corporate,S. Patel,Debit Card,39.89%,Low,Jan,low,2025
31-12-2024,South,Accessories,2277.77,1940.33,337.44,Small Business,R. Sharma,Credit Card,14.81%,Low,Dec,good,2024
08-03-2024,West,Accessories,11988.93,8289.67,3699.26,Consumer,A. Kumar,UPI,30.86%,High,Mar,Excellent,2024
05-08-2025,Central,Office Supplies,7531.45,5623.94,1907.51,Enterprise,R. Sharma,Cash,25.33%,Medium,Aug,low,2025
30-01-2025,South,Electronics,5655.09,3641.13,2013.96,Enterprise,V. Gupta,Cash,35.61%,Medium,Jan,low,2025
11-09-2023,South,Software,5848.94,4572.03,1276.91,Consumer,V. Gupta,Bank Transfer,21.83%,Medium,Sep,low,2023
24-07-2023,Central,Electronics,336.52,205.2,131.32,Small Business,N. Iyer,Cash,39.02%,Low,Jul,good,2023
19-12-2024,East,Software,2175.55,1765.66,409.89,Small Business,N. Iyer,Debit Card,18.84%,Low,Dec,good,2024
23-04-2026,East,Office Supplies,5056.55,3873.09,1183.46,Enterprise,M. Rao,UPI,23.40%,Medium,Apr,low,2026
09-07-2024,South,Electronics,8722.03,5185.55,3536.48,Small Business,S. Patel,Cash,40.55%,Medium,Jul,Excellent,2024
08-12-2025,South,Software,8727.48,7721.15,1006.33,Consumer,R. Sharma,UPI,11.53%,Medium,Dec,low,2025
25-04-2026,Central,Accessories,2438.47,1296.8,1141.67,Small Business,V. Gupta,Bank Transfer,46.82%,Low,Apr,low,2026
01-12-2024,West,Electronics,7125.55,5103.03,2022.52,Corporate,A. Kumar,Debit Card,28.38%,Medium,Dec,low,2024
08-12-2024,West,Office Supplies,6296.75,4341.2,1955.55,Small Business,N. Iyer,Bank Transfer,31.06%,Medium,Dec,low,2024
15-12-2024,East,Accessories,4150.13,3162.85,987.28,Corporate,R. Sharma,Bank Transfer,23.79%,Low,Dec,low,2024
03-07-2025,West,Electronics,4165.27,2993.3,1171.97,Enterprise,M. Rao,UPI,28.14%,Low,Jul,low,2025
28-04-2024,East,Software,11156.26,7827.49,3328.77,Enterprise,P. Singh,Credit Card,29.84%,High,Apr,Excellent,2024
02-06-2024,East,Office Supplies,3909.05,3158.27,750.78,Enterprise,M. Rao,UPI,19.21%,Low,Jun,low,2024
19-07-2025,West,Software,9128.49,6756.27,2372.22,Corporate,R. Sharma,Credit Card,25.99%,Medium,Jul,low,2025
19-03-2024,North,Furniture,9520.72,6577.17,2943.55,Corporate,K. Das,Credit Card,30.92%,Medium,Mar,low,2024
18-01-2024,Central,Electronics,1459.14,667.75,791.39,Consumer,K. Das,Cash,54.24%,Low,Jan,low,2024
24-12-2023,North,Software,1714.13,1024.96,689.17,Small Business,S. Patel,Debit Card,40.21%,Low,Dec,low,2023
07-02-2025,Central,Furniture,4414.07,4044.13,369.94,Consumer,A. Kumar,Bank Transfer,8.38%,Low,Feb,good,2025
03-05-2025,Central,Office Supplies,10209.5,7791.75,2417.75,Enterprise,R. Sharma,Cash,23.68%,High,May,low,2025
03-07-2024,Central,Software,7054.48,5358.4,1696.08,Small Business,N. Iyer,UPI,24.04%,Medium,Jul,low,2024
14-10-2024,East,Software,9408.08,7261.9,2146.18,Small Business,R. Sharma,Bank Transfer,22.81%,Medium,Oct,low,2024
28-07-2023,South,Office Supplies,557.83,100.82,457.01,Small Business,V. Gupta,Cash,81.93%,Low,Jul,good,2023
24-07-2023,West,Office Supplies,8303.34,6221.15,2082.19,Consumer,K. Das,Bank Transfer,25.08%,Medium,Jul,low,2023
22-10-2024,South,Software,9830.73,7191.23,2639.5,Enterprise,K. Das,Debit Card,26.85%,Medium,Oct,low,2024
05-06-2024,West,Furniture,9290.95,6462.95,2828,Small Business,P. Singh,UPI,30.44%,Medium,Jun,low,2024
08-11-2024,Central,Office Supplies,7352.65,4697.83,2654.82,Small Business,M. Rao,UPI,36.11%,Medium,Nov,low,2024
26-07-2024,East,Electronics,8629.48,7695.99,933.49,Enterprise,V. Gupta,Bank Transfer,10.82%,Medium,Jul,low,2024
09-04-2026,North,Accessories,1801.64,1771.33,30.31,Consumer,R. Sharma,Credit Card,1.68%,Low,Apr,good,2026
03-02-2025,North,Furniture,3924.45,2495.84,1428.61,Consumer,R. Sharma,Credit Card,36.40%,Low,Feb,low,2025
12-04-2026,West,Office Supplies,2755.7,2032.97,722.73,Enterprise,A. Kumar,Bank Transfer,26.23%,Low,Apr,low,2026
18-12-2023,North,Office Supplies,12427.2,7607.56,4819.64,Enterprise,P. Singh,Cash,38.78%,High,Dec,Excellent,2023
23-02-2026,East,Software,3086.48,1716.27,1370.21,Consumer,P. Singh,Debit Card,44.39%,Low,Feb,low,2026
02-09-2025,North,Furniture,9036.23,6963.91,2072.32,Enterprise,P. Singh,Cash,22.93%,Medium,Sep,low,2025
05-09-2024,East,Office Supplies,6410.32,4308.15,2102.17,Corporate,A. Kumar,Cash,32.79%,Medium,Sep,low,2024
07-06-2026,East,Furniture,1770.42,1187.06,583.36,Small Business,A. Kumar,Debit Card,32.95%,Low,Jun,low,2026
23-02-2024,North,Furniture,2990.3,2200.1,790.2,Small Business,P. Singh,UPI,26.43%,Low,Feb,low,2024
15-11-2024,West,Accessories,205,179.48,25.52,Corporate,N. Iyer,Credit Card,12.45%,Low,Nov,good,2024
27-11-2024,Central,Office Supplies,1631.68,1503.52,128.16,Consumer,A. Kumar,Bank Transfer,7.85%,Low,Nov,good,2024
17-05-2024,South,Software,9749.15,6341.82,3407.33,Corporate,N. Iyer,Cash,34.95%,Medium,May,Excellent,2024
17-06-2025,South,Electronics,9402.02,7269.18,2132.84,Enterprise,N. Iyer,Debit Card,22.68%,Medium,Jun,low,2025
01-12-2024,West,Accessories,10698.77,8098.1,2600.67,Small Business,V. Gupta,Debit Card,24.31%,High,Dec,low,2024
23-07-2024,West,Office Supplies,6059.1,4938.22,1120.88,Corporate,P. Singh,Cash,18.50%,Medium,Jul,low,2024
19-05-2024,Central,Office Supplies,6524.76,4099.52,2425.24,Enterprise,A. Kumar,Cash,37.17%,Medium,May,low,2024
21-08-2025,Central,Office Supplies,10583.08,6629.55,3953.53,Corporate,N. Iyer,Credit Card,37.36%,High,Aug,Excellent,2025
07-09-2025,Central,Furniture,2865.17,1789.84,1075.33,Small Business,N. Iyer,UPI,37.53%,Low,Sep,low,2025
26-04-2025,North,Electronics,1684.75,1083.13,601.62,Corporate,R. Sharma,Credit Card,35.71%,Low,Apr,low,2025
23-08-2024,North,Accessories,1269.64,1052.79,216.85,Enterprise,V. Gupta,Cash,17.08%,Low,Aug,good,2024
12-12-2024,North,Electronics,718.32,536.86,181.46,Corporate,V. Gupta,Credit Card,25.26%,Low,Dec,good,2024
19-02-2026,Central,Software,7522.71,7229.08,293.63,Small Business,A. Kumar,Cash,3.90%,Medium,Feb,good,2026
01-01-2025,East,Electronics,7293.88,4808.29,2485.59,Corporate,P. Singh,Credit Card,34.08%,Medium,Jan,low,2025
22-10-2024,Central,Furniture,5475.77,4831.78,643.99,Corporate,K. Das,Credit Card,11.76%,Medium,Oct,low,2024
09-07-2025,West,Electronics,9026.85,6102.98,2923.87,Corporate,R. Sharma,Cash,32.39%,Medium,Jul,low,2025
06-10-2025,Central,Accessories,6732.08,4591.77,2140.31,Enterprise,N. Iyer,Bank Transfer,31.79%,Medium,Oct,low,2025
01-05-2025,West,Office Supplies,9710.41,7619.2,2091.21,Corporate,S. Patel,UPI,21.54%,Medium,May,low,2025
08-12-2024,West,Electronics,4427.15,3304.08,1123.07,Consumer,M. Rao,Cash,25.37%,Low,Dec,low,2024
09-08-2023,East,Electronics,8008.85,4706.72,3302.13,Small Business,S. Patel,Debit Card,41.23%,Medium,Aug,Excellent,2023
11-04-2025,East,Accessories,848.68,293.14,555.54,Corporate,P. Singh,Credit Card,65.46%,Low,Apr,low,2025
03-02-2026,East,Accessories,3605.71,3265.34,340.37,Corporate,S. Patel,Bank Transfer,9.44%,Low,Feb,good,2026
13-03-2025,South,Electronics,1338.06,917.96,420.1,Small Business,V. Gupta,Debit Card,31.40%,Low,Mar,good,2025
01-04-2026,Central,Electronics,10875.56,7448.78,3426.78,Small Business,A. Kumar,Cash,31.51%,High,Apr,Excellent,2026
26-08-2025,East,Office Supplies,853.2,798.45,54.75,Enterprise,K. Das,Credit Card,6.42%,Low,Aug,good,2025
13-10-2024,North,Software,10621.68,6754.34,3867.34,Consumer,M. Rao,Cash,36.41%,High,Oct,Excellent,2024
29-09-2023,East,Accessories,4221.53,2941.92,1279.61,Corporate,R. Sharma,Credit Card,30.31%,Low,Sep,low,2023
18-09-2025,Central,Accessories,13067.59,8742.26,4325.33,Consumer,S. Patel,UPI,33.10%,High,Sep,Excellent,2025
19-02-2025,East,Electronics,7803.1,7098.68,704.42,Enterprise,A. Kumar,Cash,9.03%,Medium,Feb,low,2025
01-10-2025,West,Furniture,3218.7,2436.77,781.93,Corporate,V. Gupta,Cash,24.29%,Low,Oct,low,2025
15-08-2024,South,Accessories,6506.44,4441.96,2064.48,Corporate,S. Patel,Credit Card,31.73%,Medium,Aug,low,2024
02-01-2025,Central,Electronics,8535.88,7013.27,1522.61,Consumer,K. Das,UPI,17.84%,Medium,Jan,low,2025
24-07-2025,Central,Electronics,3976.12,3199.94,776.18,Small Business,R. Sharma,Bank Transfer,19.52%,Low,Jul,low,2025
28-12-2025,South,Furniture,7358.75,5646.32,1712.43,Small Business,R. Sharma,Credit Card,23.27%,Medium,Dec,low,2025
22-02-2024,Central,Furniture,7778.27,6682.28,1095.99,Small Business,A. Kumar,Bank Transfer,14.09%,Medium,Feb,low,2024
19-02-2024,East,Furniture,3847.14,2815.55,1031.59,Corporate,S. Patel,Cash,26.81%,Low,Feb,low,2024
12-06-2026,Central,Furniture,9284.47,6778.16,2506.31,Consumer,K. Das,Cash,26.99%,Medium,Jun,low,2026
19-06-2026,East,Furniture,621.92,486.99,134.93,Small Business,A. Kumar,UPI,21.70%,Low,Jun,good,2026
24-07-2023,East,Electronics,1297.38,692.72,604.66,Consumer,M. Rao,UPI,46.61%,Low,Jul,low,2023
22-10-2024,North,Office Supplies,11765.67,8820.16,2945.51,Enterprise,P. Singh,Debit Card,25.03%,High,Oct,low,2024
17-08-2024,North,Electronics,6036.68,4555.79,1480.89,Corporate,M. Rao,Bank Transfer,24.53%,Medium,Aug,low,2024
05-04-2026,East,Office Supplies,4019.01,3601.26,417.75,Small Business,M. Rao,Debit Card,10.39%,Low,Apr,good,2026
28-04-2026,East,Software,2681.4,2555.32,126.08,Consumer,M. Rao,Debit Card,4.70%,Low,Apr,good,2026
12-05-2024,South,Electronics,4078.89,3141.9,936.99,Enterprise,S. Patel,UPI,22.97%,Low,May,low,2024
10-11-2024,East,Accessories,6742.3,5198.8,1543.5,Small Business,V. Gupta,Cash,22.89%,Medium,Nov,low,2024
01-04-2024,Central,Furniture,2170.74,1940.14,230.6,Corporate,M. Rao,Cash,10.62%,Low,Apr,good,2024
08-04-2024,South,Accessories,6524.17,3927.57,2596.6,Corporate,N. Iyer,Credit Card,39.80%,Medium,Apr,low,2024
02-07-2026,East,Furniture,9208.54,8542.55,665.99,Consumer,N. Iyer,UPI,7.23%,Medium,Jul,low,2026
26-10-2025,East,Furniture,4425.14,2799.8,1625.34,Corporate,P. Singh,Debit Card,36.73%,Low,Oct,low,2025
19-07-2024,Central,Office Supplies,1023.23,333.16,690.07,Corporate,S. Patel,Debit Card,67.44%,Low,Jul,low,2024
29-08-2023,West,Furniture,5002.96,3297.43,1705.53,Enterprise,N. Iyer,Debit Card,34.09%,Medium,Aug,low,2023
07-09-2025,South,Furniture,4911.75,4473.87,437.88,Consumer,K. Das,Credit Card,8.91%,Low,Sep,good,2025
